,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
795,DELL,Dell Technologies Inc.,49.49,$36.11B,2018,Technology,Computer Manufacturing
2772,THS,"Treehouse Foods, Inc.",49.42,$2.78B,,Consumer Non-Durables,Packaged Foods
267,AZN,Astrazeneca PLC,49.31,$129.38B,,Health Care,Major Pharmaceuticals
1393,HRI,Herc Holdings Inc.,49.26,$1.42B,2016,,
131,ALSN,"Allison Transmission Holdings, Inc.",49.13,$5.86B,2012,Capital Goods,Auto Parts:O.E.M.
3088,XEC,Cimarex Energy Co,48.84,$4.97B,,Energy,Oil & Gas Production
2332,PTR,PetroChina Company Limited,48.77,$89.26B,,Energy,Oil & Gas Production
2378,RCI,"Rogers Communication, Inc.",48.73,$19.47B,,Consumer Services,Television Services
1749,MCY,Mercury General Corporation,48.7,$2.7B,,Finance,Property-Casualty Insurers
1167,GCO,Genesco Inc.,48.69,$715.75M,,Consumer Services,Clothing/Shoe/Accessory Stores
235,AVA,Avista Corporation,48.6,$3.24B,,Public Utilities,Power Generation
1064,FE,FirstEnergy Corp.,48.51,$26.21B,,Public Utilities,Electric Utilities: Central
2371,RAMP,"LiveRamp Holdings, Inc.",48.46,$3.28B,2018,Technology,EDP Services
2062,NTR,Nutrien Ltd.,48.45,$27.76B,2004,Basic Industries,Agricultural Chemicals
699,CRS,Carpenter Technology Corporation,48.41,$2.31B,,Basic Industries,Steel/Iron Ore
1096,FLS,Flowserve Corporation,48.37,$6.33B,,Capital Goods,Fluid Controls
2209,PFGC,Performance Food Group Company,48.31,$5.66B,2015,Consumer Non-Durables,Food Distributors
1094,FLOW,"SPX FLOW, Inc.",48.23,$2.05B,2015,Technology,Industrial Machinery/Components
1738,MCB,Metropolitan Bank Holding Corp.,48.17,$400.77M,2017,Finance,Major Banks
3029,WGO,"Winnebago Industries, Inc.",48.16,$1.62B,,Consumer Non-Durables,Homebuilding
1363,HLI,"Houlihan Lokey, Inc.",48.05,$3.15B,2015,Finance,Investment Managers
1473,INST,"Instructure, Inc.",48,$1.83B,2015,Technology,Computer Software: Prepackaged Software
678,CPB,Campbell Soup Company,47.96,$14.47B,,Consumer Non-Durables,Packaged Foods
3105,YUMC,"Yum China Holdings, Inc.",47.94,$18.02B,2016,Consumer Services,Restaurants
313,BCE,"BCE, Inc.",47.9,$43.28B,,Public Utilities,Telecommunications Equipment
2224,PHG,Koninklijke Philips N.V.,47.86,$42.98B,,Energy,Consumer Electronics/Appliances
648,CNP^B,"CenterPoint Energy, Inc.",47.71,,,,
1023,EV,Eaton Vance Corporation,47.61,$5.41B,,Finance,Investment Managers
2592,SNN,"Smith & Nephew SNATS, Inc.",47.51,$20.79B,,Health Care,Industrial Specialties
301,BBL,BHP Group Plc,47.48,$120.05B,,Energy,Coal Mining
113,AL,Air Lease Corporation,47.47,$5.3B,2011,Technology,Diversified Commercial Services
1694,LN,LINE Corporation,47.36,$11.34B,2016,Technology,"Computer Software: Programming, Data Processing"
816,DKS,Dick&#39;s Sporting Goods Inc,47.18,$4.15B,2002,Consumer Services,Other Specialty Stores
503,CBT,Cabot Corporation,47.15,$2.69B,,Basic Industries,Major Chemicals
1730,MAS,Masco Corporation,47.1,$13.47B,,Basic Industries,Forest Products
330,BERY,"Berry Global Group, Inc.",47.09,$6.23B,2012,Consumer Non-Durables,Plastic Products
517,CCL,Carnival Corporation,46.99,$33.48B,1987,Consumer Services,Marine Transportation
1295,GSK,GlaxoSmithKline PLC,46.88,$116.95B,,Health Care,Major Pharmaceuticals
545,CF,"CF Industries Holdings, Inc.",46.88,$10.19B,2005,Basic Industries,Agricultural Chemicals
886,DY,"Dycom Industries, Inc.",46.84,$1.48B,,Basic Industries,Water Supply
1327,HCI,"HCI Group, Inc.",46.82,$375.42M,,Finance,Property-Casualty Insurers
1109,FNF,"Fidelity National Financial, Inc.",46.68,$12.84B,2014,Finance,Specialty Insurers
1963,NFG,National Fuel Gas Company,46.66,$4.03B,,Public Utilities,Oil/Gas Transmission
1356,HIW,"Highwoods Properties, Inc.",46.59,$4.83B,1994,Consumer Services,Real Estate Investment Trusts
174,APO,"Apollo Global Management, Inc",46.48,$18.72B,2011,Finance,Investment Managers
593,CIT,CIT Group Inc (DEL),46.41,$4.4B,,Finance,Major Banks
774,DAVA,Endava plc,46.39,$2.55B,2018,Technology,EDP Services
1362,HLF,Herbalife Nutrition Ltd.,46.39,$6.83B,2004,Health Care,Other Pharmaceuticals
851,DRQ,"Dril-Quip, Inc.",46.35,$1.68B,1997,Energy,Metal Fabrications
2880,UDR,"UDR, Inc.",46.32,$13.57B,,Consumer Services,Real Estate Investment Trusts
2408,RGR,"Sturm, Ruger & Company, Inc.",46.28,$809.22M,,Capital Goods,Ordnance And Accessories
20,ACC,American Campus Communities Inc,46.24,$6.35B,2004,Consumer Services,Real Estate Investment Trusts
329,BEP,Brookfield Renewable Partners L.P.,46.21,$8.27B,,Public Utilities,Electric Utilities: Central
1480,IP,International Paper Company,46.2,$18.12B,,Basic Industries,Paper
166,AOS,A.O Smith Corporation,46.19,$7.53B,,Consumer Durables,Consumer Electronics/Appliances
222,ATH,Athene Holding Ltd.,46.18,$8.53B,2016,Finance,Life Insurance
2562,SIX,Six Flags Entertainment Corporation New,46.05,$3.89B,,Consumer Services,Services-Misc. Amusement & Recreation
2711,TAL,TAL Education Group,46,$27.2B,,Consumer Services,Other Consumer Services
31,ADM,Archer-Daniels-Midland Company,45.98,$25.6B,,Consumer Non-Durables,Packaged Foods
2271,PNR,Pentair plc.,45.92,$7.72B,,Technology,Industrial Machinery/Components
1333,HE,"Hawaiian Electric Industries, Inc.",45.84,$5B,,Public Utilities,Electric Utilities: Central
2395,REXR,"Rexford Industrial Realty, Inc.",45.74,$5.07B,2013,Consumer Services,Real Estate Investment Trusts
271,AZZ,AZZ Inc.,45.69,$1.19B,,Consumer Durables,Building Products
2518,SCI,Service Corporation International,45.59,$8.33B,,Consumer Services,Other Consumer Services
3075,WTR,"Aqua America, Inc.",45.56,$9.83B,,Public Utilities,Water Supply
1443,IFFT,"International Flavors & Fragrances, Inc.",45.55,,2018,Basic Industries,Major Chemicals
1428,IAA,"IAA, Inc.",45.55,$6.08B,2019,Consumer Durables,Automotive Aftermarket
597,CLB,Core Laboratories N.V.,45.35,$2.01B,1995,Energy,Oilfield Services/Equipment
106,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",45.26,$3.56B,,Capital Goods,Military/Government/Technical
437,BSX,Boston Scientific Corporation,45.2,$63B,,Health Care,Medical/Dental Instruments
638,CNA,CNA Financial Corporation,45.06,$12.23B,,Finance,Property-Casualty Insurers
1279,GRUB,GrubHub Inc.,45.02,$4.12B,2014,Miscellaneous,Business Services
2576,SLF,Sun Life Financial Inc.,44.98,$26.43B,,Finance,Life Insurance
99,AIR,AAR Corp.,44.97,$1.57B,,Capital Goods,Aerospace
4,AAT,"American Assets Trust, Inc.",44.89,$2.69B,2011,Consumer Services,Real Estate Investment Trusts
1394,HRL,Hormel Foods Corporation,44.87,$23.99B,,Consumer Non-Durables,Meat/Poultry/Fish
591,CIR,"CIRCOR International, Inc.",44.79,$891.77M,,Capital Goods,Metal Fabrications
557,CHCT,Community Healthcare Trust Incorporated,44.76,$903.15M,2015,Consumer Services,Real Estate Investment Trusts
1183,GEF,Greif Bros. Corporation,44.6,$2.64B,,,
2243,PJT,PJT Partners Inc.,44.57,$1.74B,2015,Finance,Investment Managers
1370,HMN,Horace Mann Educators Corporation,44.57,$1.84B,1991,Finance,Property-Casualty Insurers
2693,SWM,"Schweitzer-Mauduit International, Inc.",44.54,$1.38B,,Basic Industries,Paper
2091,NXRT,"NexPoint Residential Trust, Inc.",44.53,$1.11B,2015,Consumer Services,Real Estate Investment Trusts
2884,UGI,UGI Corporation,44.5,$9.3B,,Public Utilities,Natural Gas Distribution
741,CUK,Carnival Corporation,44.46,$31.54B,,Consumer Services,Marine Transportation
1984,NJR,NewJersey Resources Corporation,44.34,$4.27B,,Public Utilities,Oil/Gas Transmission
451,BWA,BorgWarner Inc.,44.14,$9.11B,,Capital Goods,Auto Parts:O.E.M.
1707,LTC,"LTC Properties, Inc.",44.1,$1.75B,,Consumer Services,Real Estate Investment Trusts
2866,TXT,Textron Inc.,44.08,$10.06B,,Capital Goods,Aerospace
18,ACA,"Arcosa, Inc.",44,$2.13B,2018,Capital Goods,Metal Fabrications
2116,OGE,OGE Energy Corp,43.85,$8.78B,,Public Utilities,Electric Utilities: Central
2128,OMF,"OneMain Holdings, Inc.",43.83,$5.97B,2013,Finance,Finance: Consumer Services
200,ARMK,Aramark,43.75,$10.91B,2013,Consumer Services,Restaurants
1727,MAIN,Main Street Capital Corporation,43.57,$2.76B,2007,,
935,EIG,Employers Holdings Inc,43.5,$1.38B,2007,Finance,Property-Casualty Insurers
1476,INT,World Fuel Services Corporation,43.28,$2.83B,,Energy,Oil Refining/Marketing
1802,MIC,Macquarie Infrastructure Corporation ,43.17,$3.73B,2004,Energy,Oil Refining/Marketing
25,ACM,AECOM,43.06,$6.76B,2007,Consumer Services,Military/Government/Technical
2372,RBA,Ritchie Bros. Auctioneers Incorporated,43.05,$4.66B,,Miscellaneous,Business Services
671,CORR,"CorEnergy Infrastructure Trust, Inc.",43,$582M,,Consumer Services,Real Estate Investment Trusts
1801,MHO,"M/I Homes, Inc.",42.96,$1.21B,1993,Capital Goods,Homebuilding
748,CVI,CVR Energy Inc.,42.81,$4.3B,2007,Energy,Integrated oil Companies
2580,SMAR,Smartsheet Inc.,42.75,$5.02B,2018,Technology,Computer Software: Prepackaged Software
794,DEI,"Douglas Emmett, Inc.",42.72,$7.49B,2006,Consumer Services,Real Estate Investment Trusts
601,CLGX,"CoreLogic, Inc.",42.44,$3.37B,,Technology,EDP Services
1380,HP,"Helmerich & Payne, Inc.",42.41,$4.6B,,Energy,Oil & Gas Production
893,EAT,"Brinker International, Inc.",42.32,$1.58B,,Consumer Services,Restaurants
2665,STC,Stewart Information Services Corporation,42.29,$1B,,Finance,Specialty Insurers
440,BTI,British American Tobacco p.l.c.,42.24,$96.89B,,Consumer Non-Durables,Farming/Seeds/Milling
270,AZUL,Azul S.A.,42.09,$4.79B,2017,Transportation,Air Freight/Delivery Services
2650,SSTK,"Shutterstock, Inc.",42.07,$1.49B,2012,Technology,EDP Services
1451,IHC,Independence Holding Company,42.04,$624.28M,,Finance,Life Insurance
1611,KL,Kirkland Lake Gold Ltd.,41.92,$8.81B,,Basic Industries,Precious Metals
1585,KB,KB Financial Group Inc,41.86,$16.31B,,Finance,Commercial Banks
1601,KFY,Korn Ferry ,41.85,$2.31B,1999,Technology,Diversified Commercial Services
595,CKH,"SEACOR Holdings, Inc.",41.65,$840.46M,,Transportation,Marine Transportation
2572,SKX,"Skechers U.S.A., Inc.",41.65,$6.53B,1999,Consumer Non-Durables,Shoe Manufacturing
1153,G,Genpact Limited,41.65,$7.91B,2007,Consumer Services,Professional Services
1146,FTS,Fortis Inc.,41.62,$19.22B,2016,Public Utilities,Electric Utilities: Central
406,BOOT,"Boot Barn Holdings, Inc.",41.47,$1.18B,2014,Consumer Services,Clothing/Shoe/Accessory Stores
303,BBU,Brookfield Business Partners L.P.,41.34,$3.35B,2016,Basic Industries,Engineering & Construction
578,CIEN,Ciena Corporation,41.25,$6.37B,1997,Public Utilities,Telecommunications Equipment
2356,QGEN,Qiagen N.V.,41.25,$9.34B,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
2508,SCCO,Southern Copper Corporation,41.23,$31.87B,,Basic Industries,Precious Metals
3118,ZYME,Zymeworks Inc.,41.21,$1.62B,2017,Health Care,Major Pharmaceuticals
392,BME,Blackrock Health Sciences Trust,41.21,$432.38M,2005,,
2118,OHI,"Omega Healthcare Investors, Inc.",41.15,$8.99B,1992,Consumer Services,Real Estate Investment Trusts
2325,PSN,Parsons Corporation,41.13,$4.08B,2019,Technology,EDP Services
3037,WK,Workiva Inc.,41.06,$1.91B,2014,Technology,Computer Software: Prepackaged Software
1122,FR,"First Industrial Realty Trust, Inc.",41.02,$5.21B,1994,Consumer Services,Real Estate Investment Trusts
1951,NEM,Newmont Goldcorp Corporation,40.99,$33.6B,,Basic Industries,Precious Metals
3067,WRK,Westrock Company,40.9,$10.55B,2015,Consumer Durables,Containers/Packaging
2345,PWR,"Quanta Services, Inc.",40.67,$5.79B,,Capital Goods,Engineering & Construction
1515,JBL,Jabil Inc.,40.64,$6.2B,1993,Technology,Electrical Products
1522,JCI,Johnson Controls International plc,40.6,$31.32B,,Consumer Services,Other Consumer Services
227,ATKR,Atkore International Group Inc.,40.39,$1.9B,2016,Miscellaneous,Industrial Machinery/Components
2916,USFD,US Foods Holding Corp.,40.38,$8.86B,2016,Consumer Non-Durables,Food Distributors
546,CFG,"Citizens Financial Group, Inc.",40.29,$17.51B,2014,Finance,Major Banks
2386,RDY,Dr. Reddy&#39;s Laboratories Ltd,40.23,$6.67B,,Health Care,Major Pharmaceuticals
693,CRH,CRH PLC,40.15,$31.7B,,Capital Goods,Building Materials
2723,TCP,"TC PipeLines, LP",40.12,$2.94B,,Public Utilities,Natural Gas Distribution
2034,NRG,"NRG Energy, Inc.",40.12,$10.09B,,Public Utilities,Electric Utilities: Central
2227,PHM,"PulteGroup, Inc.",40.02,$10.85B,,Capital Goods,Homebuilding
3050,WOR,"Worthington Industries, Inc.",39.97,$2.24B,,Capital Goods,Steel/Iron Ore
1445,IFS,Intercorp Financial Services Inc.,39.97,$4.42B,2019,Finance,Commercial Banks
1762,MEI,"Methode Electronics, Inc.",39.95,$1.48B,,Capital Goods,Electrical Products
1050,FBK,FB Financial Corporation,39.91,$1.23B,2016,Finance,Major Banks
565,CHL,China Mobile (Hong Kong) Ltd.,39.86,$163.23B,,Public Utilities,Telecommunications Equipment
744,CUZ,Cousins Properties Incorporated,39.78,$5.84B,,Consumer Services,Real Estate Investment Trusts
2173,PBH,Prestige Consumer Healthcare Inc.,39.73,$2B,2005,Health Care,Major Pharmaceuticals
555,CHA,China Telecom Corp Ltd,39.55,$32.01B,2002,Public Utilities,Telecommunications Equipment
1731,MATX,"Matson, Inc.",39.52,$1.69B,,Consumer Services,Marine Transportation
2798,TOL,"Toll Brothers, Inc.",39.5,$5.55B,,Capital Goods,Homebuilding
2504,SBR,Sabine Royalty Trust,39.46,$575.3M,,Energy,Oil & Gas Production
2068,NUS,"Nu Skin Enterprises, Inc.",39.45,$2.19B,1996,Health Care,Other Pharmaceuticals
2574,SLB,Schlumberger N.V.,39.4,$54.54B,,Energy,Oilfield Services/Equipment
1373,HNI,HNI Corporation,39.31,$1.68B,,Consumer Durables,Office Equipment/Supplies/Services
2640,SRG,Seritage Growth Properties,39.29,$2.24B,2015,Finance,Real Estate
2492,SAVE,"Spirit Airlines, Inc.",39.17,$2.68B,,Transportation,Air Freight/Delivery Services
2208,PFE,"Pfizer, Inc.",39.14,$216.61B,,Health Care,Major Pharmaceuticals
1513,JBGS,JBG SMITH Properties,39.1,$5.24B,2017,Consumer Services,Real Estate Investment Trusts
1653,LAZ,Lazard Ltd.,39.08,$4.1B,2005,Finance,Investment Managers
2595,SNV,Synovus Financial Corp.,39.05,$5.72B,,Finance,Major Banks
3045,WMK,"Weis Markets, Inc.",39.04,$1.05B,,Consumer Services,Food Chains
1751,MDC,"M.D.C. Holdings, Inc.",39,$2.44B,,Capital Goods,Homebuilding
420,BRO,"Brown & Brown, Inc.",38.98,$10.98B,,Finance,Specialty Insurers
1277,GRC,Gorman-Rupp Company (The),38.94,$1.02B,,Capital Goods,Fluid Controls
1396,HSBC,HSBC Holdings plc,38.92,$158.11B,,Finance,Savings Institutions
2828,TRTN,Triton International Limited,38.87,$2.81B,2016,Technology,Diversified Commercial Services
1580,JWN,"Nordstrom, Inc.",38.86,$6.03B,,Consumer Services,Clothing/Shoe/Accessory Stores
1639,KTB,"Kontoor Brands, Inc.",38.71,$2.2B,2019,Consumer Non-Durables,Apparel
2425,RMAX,"RE/MAX Holdings, Inc.",38.71,$1.18B,2013,Finance,Real Estate
2482,SAFE,Safehold Inc.,38.65,$1.85B,2017,Consumer Services,Real Estate
954,ENB,Enbridge Inc,38.63,$78.18B,,Energy,Natural Gas Distribution
2531,SEE,Sealed Air Corporation,38.59,$5.96B,,Basic Industries,Major Chemicals
2708,T,AT&T Inc.,38.59,$281.9B,,Public Utilities,Telecommunications Equipment
2883,UFS,Domtar Corporation,38.56,$2.51B,,Basic Industries,Paper
2608,SOR,"Source Capital, Inc.",38.4689,$326.08M,,,
2719,TCI,"Transcontinental Realty Investors, Inc.",38.41,$334.85M,,Consumer Services,Real Estate Investment Trusts
980,EPR^E,EPR Properties,38.38,,,,
560,CHGG,"Chegg, Inc.",38.35,$4.64B,2013,Consumer Services,Other Consumer Services
2334,PUK,Prudential Public Limited Company,38.34,$49.86B,,Finance,Life Insurance
2152,OXY,Occidental Petroleum Corporation,38.32,$34.23B,,Energy,Oil & Gas Production
2544,SHG,Shinhan Financial Group Co Ltd,38.24,$17.6B,,Finance,Major Banks
3046,WMS,"Advanced Drainage Systems, Inc.",38.19,$2.61B,2014,Capital Goods,Containers/Packaging
685,CPRI,Capri Holdings Limited,38.1,$5.78B,2011,Consumer Non-Durables,Apparel
1261,GOOS,Canada Goose Holdings Inc.,38.06,$2.26B,2017,Consumer Non-Durables,Apparel
2529,SE,Sea Limited,38,$17.6B,2017,Consumer Services,Other Consumer Services
2849,TU,TELUS Corporation,37.99,$22.86B,,Public Utilities,Telecommunications Equipment
1048,FBC,"Flagstar Bancorp, Inc.",37.97,$2.15B,,Finance,Savings Institutions
2766,THC,Tenet Healthcare Corporation,37.84,$3.93B,,Health Care,Hospital/Nursing Management
1616,KMT,Kennametal Inc.,37.74,$3.13B,,Capital Goods,Industrial Machinery/Components
2533,SERV,"ServiceMaster Global Holdings, Inc.",37.7,$5.11B,2014,Consumer Services,Other Consumer Services
76,AGX,"Argan, Inc.",37.62,$588.12M,,Basic Industries,Engineering & Construction
2818,TRGP,"Targa Resources, Inc.",37.51,$8.73B,2010,Public Utilities,Natural Gas Distribution
11,ABM,ABM Industries Incorporated,37.48,$2.49B,,Finance,Diversified Commercial Services
409,BP,BP p.l.c.,37.44,$126.43B,,Energy,Integrated oil Companies
2675,STOR,STORE Capital Corporation,37.42,$8.79B,2014,Consumer Services,Real Estate Investment Trusts
2055,NTB,Bank of N.T. Butterfield & Son Limited (The),37.38,$2.01B,2016,Finance,Commercial Banks
1090,FL,"Foot Locker, Inc.",37.33,$3.9B,,Consumer Services,Clothing/Shoe/Accessory Stores
2109,ODC,Oil-Dri Corporation Of America,37.24,$283.46M,,Consumer Durables,Miscellaneous manufacturing industries
645,CNNE,"Cannae Holdings, Inc.",37.22,$2.94B,2017,Consumer Services,Restaurants
2702,SYF,Synchrony Financial,37.18,$24.03B,2014,Finance,Finance: Consumer Services
2837,TSE,Trinseo S.A.,37.05,$1.45B,2014,Basic Industries,Major Chemicals
885,DXC,DXC Technology Company,37.02,$9.48B,,Technology,EDP Services
1375,HOG,"Harley-Davidson, Inc.",36.91,$5.69B,,Consumer Non-Durables,Motor Vehicles
457,BXMT,"Capital Trust, Inc.",36.88,$4.95B,,Consumer Services,Real Estate Investment Trusts
2282,PRA,ProAssurance Corporation,36.86,$1.98B,,Finance,Property-Casualty Insurers
1928,NBHC,National Bank Holdings Corporation,36.85,$1.15B,2012,Finance,Major Banks
1625,KOP,Koppers Holdings Inc.,36.85,$762.73M,2006,Basic Industries,Forest Products
3095,XRX,Xerox Holdings Corporation,36.81,$7.96B,,Technology,Computer peripheral equipment
1159,GAM,"General American Investors, Inc.",36.8,$898.77M,,,
1817,MLR,"Miller Industries, Inc.",36.74,$418.84M,,Capital Goods,Construction/Ag Equipment/Trucks
1102,FMS,Fresenius Medical Care Corporation,36.74,$22.07B,,Health Care,Misc Health and Biotechnology Services
572,CHT,"Chunghwa Telecom Co., Ltd.",36.73,$28.49B,,Public Utilities,Telecommunications Equipment
1621,KNX,"Knight Transportation, Inc.",36.73,$6.27B,2017,Transportation,Trucking Freight/Courier Services
312,BCC,"Boise Cascade, L.L.C.",36.67,$1.43B,2013,Consumer Services,RETAIL: Building Materials
384,BKU,"BankUnited, Inc.",36.53,$3.47B,2011,Finance,Savings Institutions
501,CBPX,"Continental Building Products, Inc.",36.5,$1.27B,2014,Capital Goods,Building Materials
17,AC,"Associated Capital Group, Inc.",36.44,$819.51M,2015,Finance,Investment Bankers/Brokers/Service
367,BILL,"Bill.com Holdings, Inc.",36.38,$2.57B,2019,Technology,Computer Software: Prepackaged Software
2277,PPL,PPL Corporation,36.25,$26.21B,,Public Utilities,Electric Utilities: Central
1820,MMI,"Marcus & Millichap, Inc.",36.22,$1.42B,2013,Finance,Real Estate
1172,GDI,"Gardner Denver Holdings, Inc.",36.18,$7.4B,2017,Technology,Industrial Machinery/Components
2168,PBA,Pembina Pipeline Corp.,36.17,$18.52B,,Energy,Oil & Gas Production
1238,GM,General Motors Company,36.11,$52.42B,2010,Capital Goods,Auto Manufacturing
1756,MDP,Meredith Corporation,36.08,$1.63B,,Consumer Services,Newspapers/Magazines
1690,LM,"Legg Mason, Inc.",36.06,$3.13B,,Finance,Investment Managers
2465,RVI,Retail Value Inc.,35.97,$685.31M,2018,Finance,Real Estate
1311,GWB,"Great Western Bancorp, Inc.",35.78,$2.01B,2014,Finance,Major Banks
1384,HPP,"Hudson Pacific Properties, Inc.",35.74,$5.54B,2010,Finance,Real Estate
494,CBB^B,Cincinnati Bell Inc,35.72,,,,
441,BTO,John Hancock Financial Opportunities Fund,35.7,$667.29M,1994,,
2673,STNG,Scorpio Tankers Inc.,35.64,$2.07B,2010,Transportation,Marine Transportation
1024,EVA,"Enviva Partners, LP",35.6,$1.19B,2015,Basic Industries,Forest Products
356,BHE,"Benchmark Electronics, Inc.",34.98,$1.29B,,Technology,Electrical Products
644,CNK,Cinemark Holdings Inc,34.81,$4.08B,2007,Consumer Services,Movies/Entertainment
1586,KBH,KB Home,34.79,$3.08B,1986,Capital Goods,Homebuilding
1053,FC,Franklin Covey Company,34.72,$475.59M,,Consumer Services,Other Consumer Services
275,BAC,Bank of America Corporation,34.7,$312.13B,,Finance,Major Banks
1133,FSB,"Franklin Financial Network, Inc.",34.68,$510.37M,2015,Finance,Major Banks
2018,NOAH,Noah Holdings Ltd.,34.64,$2.08B,2010,Finance,Investment Managers
2917,USM,United States Cellular Corporation,34.59,$2.98B,1988,Public Utilities,Telecommunications Equipment
2134,ONTO,Onto Innovation Inc.,34.55,$1.73B,,Capital Goods,Industrial Machinery/Components
551,CFX,Colfax Corporation,34.55,$4.07B,2008,Capital Goods,Fluid Controls
1346,HGV,Hilton Grand Vacations Inc.,34.5,$2.95B,2016,Consumer Services,Hotels/Resorts
848,DRE,Duke Realty Corporation,34.44,$12.66B,,Consumer Services,Real Estate Investment Trusts
3106,ZAYO,"Zayo Group Holdings, Inc.",34.38,$8.14B,2014,Public Utilities,Telecommunications Equipment
814,DK,"Delek US Holdings, Inc.",34.35,$2.55B,2017,Energy,Integrated oil Companies
1835,MODN,"Model N, Inc.",34.25,$1.13B,2013,Technology,"Computer Software: Programming, Data Processing"
1937,NCR,NCR Corporation,34.22,$4.37B,,Miscellaneous,Office Equipment/Supplies/Services
2814,TR,"Tootsie Roll Industries, Inc.",34.21,$1.34B,,Consumer Non-Durables,Specialty Foods
221,ATGE,Adtalem Global Education Inc.,34.21,$1.85B,,Consumer Services,Other Consumer Services
1061,FDP,"Fresh Del Monte Produce, Inc.",34.16,$1.64B,1997,Consumer Non-Durables,Farming/Seeds/Milling
3113,ZNH,China Southern Airlines Company Limited,34.02,$8.35B,1997,Transportation,Air Freight/Delivery Services
2215,PFSI,"PennyMac Financial Services, Inc.",33.99,$2.67B,2013,Finance,Finance: Consumer Services
2976,VPG,"Vishay Precision Group, Inc.",33.86,$457.89M,,Capital Goods,Electrical Products
3099,YELP,Yelp Inc.,33.78,$2.37B,2012,Consumer Services,Other Consumer Services
193,ARES,Ares Management Corporation,33.69,$7.8B,2014,Finance,Investment Managers
613,CLR,"Continental Resources, Inc.",33.54,$12.46B,2007,Energy,Oil & Gas Production
435,BST,BlackRock Science and Technology Trust,33.48,$752.36M,2014,,
1083,FII,"Federated Investors, Inc.",33.37,$3.38B,1998,Finance,Investment Managers
1349,HI,Hillenbrand Inc,33.26,$2.48B,,Consumer Durables,Miscellaneous manufacturing industries
242,AVNS,"Avanos Medical, Inc.",33.24,$1.59B,2014,Health Care,Industrial Specialties
3082,WWW,"Wolverine World Wide, Inc.",33.22,$2.69B,,Consumer Non-Durables,Shoe Manufacturing
3031,WHD,"Cactus, Inc.",33.09,$2.49B,2018,Energy,Metal Fabrications
2444,ROL,"Rollins, Inc.",32.97,$10.8B,,Finance,Diversified Commercial Services
1785,MGM,MGM Resorts International,32.95,$16.97B,,Consumer Services,Hotels/Resorts
667,COLD,Americold Realty Trust,32.95,$6.32B,2018,Consumer Services,Real Estate Investment Trusts
2188,PDI,PIMCO Dynamic Income Fund,32.95,$1.87B,2012,,
2095,NYT,New York Times Company (The),32.86,$5.46B,,Consumer Services,Newspapers/Magazines
358,BHLB,"Berkshire Hills Bancorp, Inc.",32.85,$1.64B,,Finance,Banks
34,ADSW,"Advanced Disposal Services, Inc.",32.83,$2.94B,2016,Public Utilities,Environmental Services
1306,GTY,Getty Realty Corporation,32.79,$1.35B,,Finance,Real Estate
3100,YETI,"YETI Holdings, Inc.",32.7,$2.83B,2018,Consumer Non-Durables,Recreational Products/Toys
461,BXS,BancorpSouth Bank,32.55,$3.41B,,,
1746,MCS,Marcus Corporation (The),32.55,$1.01B,,Consumer Services,Movies/Entertainment
815,DKL,"Delek Logistics Partners, L.P.",32.53,$794.29M,2012,Energy,Natural Gas Distribution
2573,SKY,Skyline Champion Corporation,32.52,$1.84B,,Basic Industries,Homebuilding
1390,HR,Healthcare Realty Trust Incorporated,32.49,$4.35B,1993,Consumer Services,Real Estate Investment Trusts
1641,KTH,Lehman ABS Corporation,32.46,,,Finance,Finance: Consumer Services
2193,PEAK,"Healthpeak Properties, Inc.",32.43,$16.05B,,Consumer Services,Real Estate Investment Trusts
1260,GOLF,Acushnet Holdings Corp.,32.36,$2.43B,2016,Consumer Non-Durables,Recreational Products/Toys
1924,NAV,Navistar International Corporation,32.35,$3.21B,,Capital Goods,Auto Manufacturing
2469,RXN,Rexnord Corporation,32.31,$3.42B,2012,Technology,Industrial Machinery/Components
1642,KTN,Lehman ABS Corporation,32.2523,,,Finance,Finance: Consumer Services
2683,SU,Suncor Energy  Inc.,32.14,$49.58B,,Energy,Integrated oil Companies
2483,SAH,"Sonic Automotive, Inc.",32.11,$1.39B,1997,Consumer Durables,Automotive Aftermarket
2047,NSA,National Storage Affiliates Trust,32.09,$1.9B,2015,Consumer Services,Real Estate Investment Trusts
1814,MLI,"Mueller Industries, Inc.",32.04,$1.82B,,Capital Goods,Metal Fabrications
976,EPC,Edgewell Personal Care,31.99,$1.73B,,Consumer Non-Durables,Package Goods/Cosmetics
265,AYR,Aircastle Limited,31.97,$2.39B,2006,Technology,Diversified Commercial Services
2563,SJI,"South Jersey Industries, Inc.",31.82,$2.94B,,Public Utilities,Oil/Gas Transmission
201,ARNC,Arconic Inc.,31.8,$13.77B,,Capital Goods,Metal Fabrications
1490,IRM,Iron Mountain Incorporated,31.8,$9.13B,,Consumer Services,Real Estate Investment Trusts
1034,EVTC,"Evertec, Inc.",31.79,$2.29B,2013,Technology,EDP Services
1138,FSS,Federal Signal Corporation,31.76,$1.92B,,Capital Goods,Auto Manufacturing
2160,PAGS,PagSeguro Digital Ltd.,31.75,$10.44B,2018,Technology,EDP Services
